run_id,head_sha,head_branch,shard_count
25349798003,dab7abe9ac4732de40acbc36e8f509ddcb71a468,nick/team-id-in-event-restriction-admin,1
25363020130,ee3320ae4b453d74f3c9920d3dbb7f09154a95e1,ab/feat/et-rate-limit-settings,1
25365525033,27f86febdc71a55f56ce8dcccf34918795dd4712,posthog-code/nudge-signup-to-pending-invite,1
25376211452,6a2a1b3bca735d5abb967e80b2677a99784e0fc3,feat/team-scoped-manager,1
25376456157,e2c21083e1e33a40179f2e178bdc70bba605b2c3,feat/tasks-summarize-endpoint,1
25376498454,a5407a5c5680fe15381d0a7ac6653c3a95a7f645,codex/improve-sql-insight-visualizations,1
25376754747,d2e70006d3a01e248d7538694927236aedab051f,dwh-retention-compare-variants,1
25377005871,e0dd63a04e01543e80310a5b03fbf7f737fdde66,feat/team-scoped-manager,1
25379024630,612417f0398ca7e73728e5ccc9bc4b138e9ae811,posthog-code/batch-exports-mcp-tools,1
25379156489,f24fadd08ccf8eb4eb2c0fe7061fe1602cb6f2ed,posthog-code/batch-exports-mcp-tools,1
25381097728,f7c4867f468dbbe2c20b1000e94c58f99b763963,posthog-code/batch-exports-mcp-tools,1
25383527215,3a4f52c8bf1e970a2e6a81889f608c8e128d1e90,gustavo/fix-realtime-cohorts-threshold-overlap,1
25389858128,ef5231e61d38a8a1b27e12b0c8e097af0c5a4a3f,claude/quizzical-panini-c2d1d0,1
25390084093,0c285a91788857a31d8bf1d1220b721a9b5f364c,er/eventproperty-tier2-reindex-team-event,1
25390097911,804410014906e3a6a9637058e7835546a5679f27,er/eventproperty-tier3-reindex-unique,1
25390167150,33ef60fdf50d34a76afc4ebd7b66708b11ee94fc,signals/signals-agent-dev-branch,1
25390290234,a2dcc90056769d390feb2fb798a1b46028a00c80,signals/signals-agent-dev-branch,1
25391214272,01a50528c6a03cb3ecab185fd2f59e99543a705e,claude/quizzical-panini-c2d1d0,1
25391304054,89f53ec01e5386c3a65f66c89c82bfee4b13c23e,gustavo/fix-realtime-cohorts-threshold-overlap,1
25391898202,62098d1c5f7f54734d1b0204207885ad0f1b9a73,claude/quizzical-panini-c2d1d0,1
25391935216,8535ee3f58c6c6f3e1b31ec5c3c1a9f375759312,signals/signals-agent-dev-branch,1
25392431316,b9edd280dd5ee8731ce4ee5c191b754bdbfe81e4,claude/quizzical-panini-c2d1d0,1
25393107011,790c409bdcf2b9176b0f4b6cacbfc588f906d638,signals/signals-agent-dev-branch,1
25394582837,6bc706de5ca96b57fda3e79f48d0829baa213191,claude/quizzical-panini-c2d1d0,1
25394823058,755b1bc8fd848a548a31af860aa40c4930335ccd,05-01-feat_integrations_add_anthropic_integration_kind,1
25394868318,2cd82b1388a569f8c7bd9ca22a583dbcabfc25ae,posthog-code/bot-definitions-add-posthog-code-clients,1
25395156480,f358b322b6d4c08af4b9fc37195a944fadba71ab,signals/signals-agent-dev-branch,1
25395358344,66e4af5b1c1f1b112d78a31af24a500916a870e3,05-01-feat_integrations_add_anthropic_integration_kind,1
25395705239,e7a288a762912280e7eeadf5709aacff41da68be,arnaud/replay-summary-hard-cap,6
25395783723,15bcad1a9fe5dea7a57c1071a9ca9d6888c2e815,claude/quizzical-panini-c2d1d0,1
25396767083,668c08f569bb6acb1bb1a3731b66346e3699d92a,arnaud/replay-summary-hard-cap,2
25396971782,b9d06909aaadc40b6feabf402d3372ac4b97aeae,signals/signals-agent-dev-branch,1
25397694375,506cd02eb4b3a00289e800d9070ecda2ad06c6e7,signals/signals-agent-dev-branch,1
25398650556,5ab27e240f059cb8fa6cd3464e253d4b54ee61cd,aspicer/dmat_new,4
25418859080,e3f594571bd4a195e91fd59c5a083665431ea15f,andy/signals-02-backend,1
25418859984,0eebaace30e6f387b910eba7c072dc6e443f7499,andy/signals-03-project-profile,1
25418860473,b1eb0df8c274ca283c6bdc68411cee55b06c5936,andy/signals-04-scout-fleet,1
25418861902,fb9c20896fc7416b3bfa01348b61d2ec893e130f,andy/signals-05-hardening,1
25418929539,db256c3b1ce94023877765fddb9eece275dd08d3,andy/signals-03-project-profile,1
25418930124,f37aa2bdb41b115d7f8397b57a14171fdd802f79,andy/signals-02-backend,1
25418931799,575c633707dd4e8ee6b421d7f8c034453eda6f89,andy/signals-04-scout-fleet,1
25418934639,36526c09b1d9ef309f770104c5c33d7fc99cff0d,andy/signals-05-hardening,1
25426336280,e335baf5aad96223282aa8bb7b016bbcbfef058f,feat/team-scoped-manager,1
25426659608,fdc2d5e122f05b29901f0c55692ef00417e9cdfd,05-06-fix_activities_include_alert_ids_in_exception_tracking_for_cohort_queries,1
25427238188,fbde3f56bb2890b4ec015930be810fdc2832ca95,posthog-code/mcp-summary-source,1
25427426402,2b6353d3d6c425d8d2ea5efb6d417f84f148bab1,fix(llma)/sentiment-generations-timeout,1
25427899558,82bff68b33fb8c78faa10c70ba605d5b2f5b65dd,andy/signals-03-project-profile,1
25427899581,2e37c1afd7ee00fdeac4c0338ed180cb7b18a930,andy/signals-05-hardening,1
25427900002,f363162bdeeecbcbd45c535d11a9f18ee81b4d95,andy/signals-04-scout-fleet,1
25427900114,27437b2df835e18667efadd99319509ed1f18247,andy/signals-02-backend,1
25427983703,7f7f55a9cc9e4588f96fa5cf3fb054ff37402222,feat/team-scoped-manager,1
25428044361,dab36f2d02df0837ec2b4126c00ba74f313466ff,chore/upgrade-social-auth-app-django,1
25428778426,977deb33b12c1cfaff65e9b0db163a98be859960,arnaud/replay-summary-hard-cap,2
25429013889,37c7ed30af4b18a52af0532b9e9530db379ee21b,chore/upgrade-social-auth-app-django,1
25429299332,676b010efb3b9fdf38304831313fdab9991a6d41,arnaud/replay-summary-hard-cap,2
25430347662,9af8faa19bf9bb8fe5b6e843157f27d3e93fe7dd,posthog-code/feat-llma-mcp-scorer-tools,1
25430755826,08436ee2e27fc35447401f2ca7564f89ee8defb2,feat/team-scoped-manager,1
25431462610,27b6ed83bb84e265227a597615d981ee26dd5dd3,posthog-code/feat-llma-mcp-scorer-tools,1
25431564447,d11a4c45668c89a649683643796dd465257bb224,posthog-code/batch-exports-mcp-tools,1
25432095611,776bfa43aeaf708e35944be51e30f3888032561b,thotta/fix/optimize-stripe-signals-query,1
25432776970,2a022e840277436af3afe3e1ba14ff2f3369a725,posthog-code/batch-exports-mcp-tools,1
25433250980,2715a6c13bb4508be243b2c0f338c89e2d760dbe,experiments/guide-agents-around-control-variant-validation,1
25433279369,38a246c16077d7bd3e0e6dbf99edea86b5c2201f,worktree-known-device-backend-session-key,3
25433297049,8e003b418dab25c4c58bd464c0c8e983a2662b29,thotta/fix/optimize-stripe-signals-query,4
25433370514,ccb85b2b054cc0ee40ed52071671a5eff0b6f4ed,experiments/guide-agents-around-control-variant-validation,1
25433446697,1d09b96c920b90ec08be7fa4923f72a9c0db1ba8,posthog-code/batch-exports-mcp-tools,1
25433555163,2270613be9a4645f3fb9530ee81fd0e9441f7eed,feat/llma-clustering-cohort-filters,4
25433891948,46aa4257f8190e75826b1d51abf6c2387ad04d6b,feat/llma-clustering-cohort-filters,4
25434325345,fae2cf150baa42d05d9286a7cb0c2d7eb123035e,posthog-code/batch-exports-mcp-tools,1
25435481517,8b55d5a3b33d8aa3e1f492d70a8c4b2c9c95ae40,claude/remove-ai-first-flag-kSLCG,1
25436501190,76edff617b069bc291009456b65551f28ce72567,posthog-code/batch-exports-mcp-tools,1
25436640976,f60d89dd5e86ae956d1b33d2b0251006954f738f,claude/quizzical-panini-c2d1d0,1
25436642148,5abf627a091b2dd7476ecd77854e8c41ca465052,andy/signals-04-scout-fleet,1
25436643730,05e7a36d9412c40ec208cd2cb70a3e635e15290f,andy/signals-05-hardening,1
25437276698,1e865c8bf84d8b3c69566f1e34e597207530cd03,claude/quizzical-panini-c2d1d0,2
25437569238,9983503c920bbe7f84aa17a3706bc49f92a5de3e,claude/remove-ai-first-flag-kSLCG,1
25437738084,6dd9456c627c589cfc363470e7fd4beace77feb7,matt/cimd-verification-token,1
25438435549,8ec36297da012c8cb13b375b2abee3bf38ed2ab4,claude/quizzical-panini-c2d1d0,2
25439076464,10b88366b727a3c59dcf61a03bf301621e0f6ec3,matt/cimd-verification-token,1
25440145329,bff182e07f525e0d532f78fd20ce9ae0f1a9ce62,andy/signals-03-project-profile,1
25440146609,8d7c0f090a6f0d6d54cb204fdefccc52dd913f68,andy/signals-02-backend,1
25440148456,1c79ddb4227408beb1f1ac70319022480cc24c06,andy/signals-04-scout-fleet,1
25440148482,27cbfa205f24b74a805213019a00acfbc892edfd,andy/signals-05-hardening,1
25441550354,006dee4994777e748dde5a33b1846eeee0e0982d,cursor/fix-group-created-at-filter-4d97,1
25442297838,b7746e3b3535160a7a171fa6317ae0debdb96ad6,andy/signals-05-hardening,1
25442299321,886122f8d731e624aa72c8315e20dc124b57d8eb,andy/signals-03-project-profile,1
25442299790,b066360418b32139c40cabc36b3fc653b88543b0,andy/signals-02-backend,1
25442300561,68a0c889d2e7f3ae1156c91a3ca3b778b34445f9,andy/signals-04-scout-fleet,1
25442569101,9b168c71e7bd3f766f1b0723f111a1cf0ed99834,arnaud/replay-summary-hard-cap,2
25442924709,69d38687eedbeea57c05c6cd6abfce0258a2bf8d,claude/quizzical-panini-c2d1d0,2
25443258307,04649b808acf587fcb77fb8ad131e2db9a5ae6e3,claude/quizzical-panini-c2d1d0,2
25443746157,a213c772e9bc6edcef6225c1ae6d17251e19d025,posthog-code/split-s3-batch-export-destinations,1
25444368466,6acfcdccdc8c1851f3f2086bcd3677043e81c908,posthog-code/split-s3-batch-export-destinations,1
25444514260,46f7fdb9835fffc7e051a6c704aca6720e5c3135,matt/cimd-verification-token,1
25445330426,ea4de8275e1896131b1fbe7642556c3fd9bc77f1,signals/agents-use-user-integration,1
25446491446,f98367fb8d0f031bb650f6214cafa672b1566972,andy/signals-02-backend,1
25446494317,f428e0f5ffaac0c416b1cda9e9ae1f8a42d502e1,andy/signals-04-scout-fleet,1
25446497477,352c148dafbce0277bd21a79bfd2e22a8a86c6d2,andy/signals-05-hardening,1
25446498268,74641cf10f4169535d5f8c12b2244fcfc7168f78,andy/signals-03-project-profile,1
25447265144,549c16717a2bf65832564c7e2c9c540e387e266b,ryan/thread_sensitive_false,1
25448396638,,,
25448737781,,,
25448740197,,,
25448741559,,,
25449370698,,,
25449668421,,,
25449738913,,,
25449905433,,,
25451294483,,,
25452760281,,,
25452920242,,,
25453775171,,,
25454224230,,,
25456164866,,,
25456385692,,,
25456389523,,,
25456390536,,,
25456397815,,,
25456641677,,,
25460111740,,,
25460502472,,,
25460895011,,,
25460897072,,,
25460899289,,,
25460901465,,,
25461205122,,,
25461334452,,,
25461423450,,,
25461441164,,,
25461524851,,,
25461878170,,,
25462192524,,,
25463102194,,,
25463527989,,,
25463927466,,,
25463928538,,,
25464988047,,,
25465043531,,,
25468081084,,,
25468347197,,,
25468426022,,,
25482736751,,,
25482740974,,,
25482742825,,,
25483116061,,,
25483117170,,,
25483518597,,,
25483875935,,,
25484585948,,,
25486208433,,,
25486252309,,,
25487802976,,,
25488001499,,,
25488953502,,,
25489255550,,,
25489975109,,,
25489977590,,,
25491272553,,,
25491274287,,,
25491275944,,,
25491277913,,,
25491750050,,,
25491762420,,,
25491781245,,,
25491786723,,,
25493577961,,,
25496285809,,,
25496410414,,,
25497793140,,,
25498196576,,,
25499741354,,,
25501642580,,,
25502591284,,,
25503037503,,,
25503037908,,,
25503038802,,,
25503038855,,,
25503039095,,,
25503147166,,,
25503306990,,,
25504405767,,,
25504432486,,,
25504563342,,,
25504563786,,,
25504571419,,,
25504574789,,,
25506110394,,,
25510012370,,,
25510836249,,,
25511086741,,,
25511336607,,,
25512360607,,,
25513553879,,,
25515123362,,,
25515325929,,,
25515407674,,,
25515415754,,,
25515415967,,,
25515416564,,,
25515416621,,,
25865042854,,,
25865272485,,,
25865411740,,,
25865821262,,,
25866940773,,,
25867211469,,,
25867423994,,,
25867436755,,,
25867598387,,,
25867629655,,,
25867709973,,,
25867814323,,,
25868087156,,,
25868281995,,,
25868282071,,,
25868708094,,,
25869267567,,,
25869344242,,,
25870000226,,,
25870590184,,,
25871375494,,,
25872478247,,,
25872698593,,,
25873268653,,,
25874165802,,,
25874390632,,,
25875640973,,,
25876482816,,,
25876662022,,,
25876783038,,,
25877986572,,,
25878228547,,,
25878759846,,,
25878928113,,,
25880041838,,,
25880407528,,,
25880494865,,,
25880549727,,,
25881247480,,,
25881567588,,,
25883274560,,,
25891312024,,,
25906431281,,,
26032607916,,,
26033371106,,,
26033823022,,,
26033869610,,,
26034148926,,,
26036484232,,,
26036484941,,,
26036487057,,,
26036488166,,,
26036826033,,,
26037387758,,,
26037610114,,,
26037612076,,,
26037615295,,,
26037618163,,,
26037619643,,,
26037885527,,,
26038476754,,,
26038594518,,,
26038882432,,,
26039043679,,,
26039704225,,,
26040367326,,,
26040629817,,,
26040884136,,,
26042039029,,,
26042040193,,,
26042041416,,,
26042042488,,,
26042045746,,,
26043803257,,,
26043908684,,,
26044562404,,,
26044840640,,,
26046057417,,,
26046491783,,,
26047025430,,,
26048291953,,,
26048771583,,,
26049342412,,,
26051044704,,,
26051970934,,,
26052719198,,,
26052725789,,,
26053592039,,,
26053942875,,,
26055535966,,,
26056415125,,,
26056939836,,,
26057007131,,,
26058478465,,,
26059242281,,,
26059855850,,,
26059867456,,,
26061315563,,,
26062063532,,,
26063109524,,,
26063542474,,,
26063552953,,,
26064811426,,,
26064950497,,,
26064950715,,,
26064951719,,,
26064951755,,,
26064952470,,,
26065285421,,,
26065285466,,,
26065285501,,,
26065286116,,,
26065286228,,,
26065287184,,,
26065307473,,,
26066113358,,,
26066220135,,,
26066220467,,,
26066221126,,,
26066316304,,,
26066682133,,,
26066739762,,,
26066821384,,,
26066886052,,,
26066903140,,,
26067097951,,,
26067524056,,,
26067667202,,,
26068193368,,,
26069158633,,,
26069372558,,,
26069404152,,,
26070544539,,,
26070758928,,,
26070898014,,,
26071363943,,,
26079444405,,,
26082073110,,,
26085539094,,,
26087937176,,,
26088746841,,,
26088850027,,,
26089190138,,,
26182010700,,,
26182244768,,,
26182797474,,,
26182852426,,,
26183404816,,,
26183668077,,,
26185549843,,,
26185804914,,,
26187176515,,,
26187998633,,,
26189220232,,,
26189658459,,,
26189750300,,,
26189958922,,,
26190295976,,,
26190927676,,,
26190960958,,,
26191448432,,,
26191677874,,,
26191945579,,,
26192065418,,,
26192416176,,,
26193031438,,,
26193149853,,,
26193284265,,,
26194143494,,,
26194492667,,,
26197481298,,,
26197856256,,,
26201869618,,,
26202801189,,,
26207804365,,,
26208382649,,,
26208704382,,,
26208970925,,,
26212937962,,,
26213223568,,,
26213723914,,,
26213734571,,,
26214143303,,,
26214565358,,,
26214587170,,,
26214991798,,,
26215073998,,,
26215349848,,,
26215385256,,,
26215588818,,,
26216165178,,,
26216654494,,,
26216795663,,,
26216797751,,,
26216898085,,,
26216937054,,,
26217054687,,,
26217158962,,,
26217585920,,,
26217591094,,,
26218021125,,,
26218218368,,,
26218792789,,,
26219256761,,,
26219458256,,,
26219619753,,,
26219621926,,,
26220424564,,,
26221415259,,,
26221792576,,,
26222051729,,,
26222126081,,,
26222236912,,,
26222431953,,,
26223370544,,,
26223380159,,,
26223654563,,,
26223946142,,,
26223950392,,,
26224049681,,,
26224133893,,,
26224416467,,,
26224417984,,,
26224419687,,,
26224421930,,,
26224422687,,,
26224530253,,,
26224579285,,,
26224604491,,,
26224605913,,,
26224612736,,,
26224621943,,,
26224928188,,,
26225983258,,,
26226124647,,,
26226144390,,,
26226227443,,,
26226323661,,,
26226326060,,,
26226824922,,,
26227008905,,,
26227083631,,,
26227328228,,,
